Model 1 测试指标汇总
模型路径: ./model/model_1\best_model_1.pt

总准确率: 0.7258
Macro F1: 0.7417
Weighted F1: 0.7221

类别                P        R       F1  Support
cloudy       0.5433   0.4726   0.5055      146
haze         0.6646   0.7676   0.7124      142
rainy        0.6389   0.7325   0.6825      157
shine        0.7069   0.9535   0.8119       43
snow         0.8145   0.7063   0.7566      143
sunny        0.7937   0.6061   0.6873      165
sunrise      0.7538   0.9800   0.8522       50
thunder      0.9189   0.9315   0.9252      146
