==================================================
  训练记录 - model_15
==================================================

训练时间: 2026-05-19 02:00:04
模型目录: ./model\model_15

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate   : 0.001
  device          : cuda:0
  loss_function   : FocalLoss (gamma=1.0)
  lr_scheduler     : CosineAnnealing
  lr_min          : 1e-06
  early_stop      : 启用
  early_stop_patience: 15
  early_stop_min_delta: 0.005
  alpha来源        : model_1_test

--- 训练结果 ---
  最佳 epoch     : 85/100
  最佳验证准确率  : 0.8335

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
87       0.0030       0.9978       0.7207       0.8335       0.000049    
88       0.0019       0.9985       0.7165       0.8264       0.000042    
89       0.0033       0.9972       0.7177       0.8315       0.000036    
90       0.0028       0.9987       0.7077       0.8295       0.000031    
91       0.0027       0.9981       0.7059       0.8295       0.000025    
92       0.0018       0.9991       0.7248       0.8295       0.000021    
93       0.0021       0.9981       0.7102       0.8375       0.000017    
94       0.0019       0.9985       0.7223       0.8305       0.000013    
95       0.0023       0.9983       0.7454       0.8305       0.000010    
96       0.0025       0.9983       0.7152       0.8254       0.000007    
97       0.0024       0.9981       0.7178       0.8315       0.000005    
98       0.0023       0.9983       0.7259       0.8305       0.000003    
99       0.0025       0.9978       0.7155       0.8375       0.000002    
100      0.0025       0.9981       0.7318       0.8305       0.000001    

--- 完整路径 ---
  best.pt            : ./model\model_15/best_model_15.pt
  last.pt            : ./model\model_15/last_model_15.pt
  训练曲线          : ./model\model_15/training_history_model_15.png
  tensorboard log    : ./model\model_15\log\2026-05-18-16-05-40
