==================================================
  训练记录 - model_15
==================================================

训练时间: 2026-05-19 02:00:04
模型目录: ./model\model_15

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate   : 0.001
  device          : cuda:0
  loss_function   : FocalLoss (gamma=1.0)
  lr_scheduler     : CosineAnnealing
  lr_min          : 1e-06
  early_stop      : 启用
  early_stop_patience: 15
  early_stop_min_delta: 0.005
  alpha来源        : model_1_test

--- 训练结果 ---
  最佳 epoch     : 85/100
  最佳验证准确率  : 0.8335

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.7496       0.6818       0.7808       0.6680       0.001000    
2        0.4522       0.7890       0.7897       0.6892       0.001000    
3        0.3766       0.8219       0.6352       0.7175       0.000999    
4        0.2922       0.8571       0.6811       0.7306       0.000998    
5        0.2667       0.8716       0.5392       0.7750       0.000996    
6        0.2230       0.8848       0.8159       0.6932       0.000994    
7        0.2148       0.8911       0.6502       0.7356       0.000991    
8        0.1816       0.9101       0.5655       0.7649       0.000988    
9        0.1522       0.9256       0.5682       0.7508       0.000984    
10       0.1509       0.9250       0.9044       0.7175       0.000980    
11       0.1218       0.9341       0.6057       0.8083       0.000976    
12       0.1181       0.9382       0.6537       0.7639       0.000970    
13       0.1302       0.9326       0.9554       0.7366       0.000965    
14       0.0940       0.9505       0.7121       0.7518       0.000959    
15       0.0906       0.9553       0.6439       0.7982       0.000952    
16       0.0787       0.9589       0.5882       0.7830       0.000946    
17       0.1212       0.9386       0.6290       0.7911       0.000938    
18       0.0996       0.9503       0.6274       0.7891       0.000930    
19       0.1037       0.9436       0.6291       0.7901       0.000922    
20       0.0684       0.9645       0.6236       0.7952       0.000914    
21       0.0522       0.9723       0.6890       0.7841       0.000905    
22       0.0647       0.9700       0.6302       0.7820       0.000895    
23       0.0470       0.9803       0.7238       0.7709       0.000885    
24       0.0811       0.9600       0.7157       0.7901       0.000875    
25       0.0469       0.9751       0.6937       0.8002       0.000865    
26       0.0539       0.9728       0.8914       0.7689       0.000854    
27       0.0527       0.9777       0.7309       0.7911       0.000842    
28       0.0304       0.9853       0.6486       0.8093       0.000831    
29       0.0557       0.9728       0.8473       0.7699       0.000819    
30       0.0574       0.9738       0.7221       0.7820       0.000807    
31       0.0831       0.9587       0.7052       0.7649       0.000794    
32       0.0867       0.9548       0.6243       0.7780       0.000781    
33       0.0363       0.9814       0.6556       0.8002       0.000768    
34       0.0254       0.9872       0.7841       0.7921       0.000755    
35       0.0210       0.9881       0.6396       0.8184       0.000741    
36       0.0167       0.9914       0.7046       0.8052       0.000727    
37       0.0437       0.9782       0.7356       0.7962       0.000713    
38       0.0331       0.9814       0.7148       0.7952       0.000699    
39       0.0223       0.9875       0.7081       0.8153       0.000684    
40       0.0322       0.9853       0.6605       0.8083       0.000670    
41       0.0405       0.9795       0.6848       0.7952       0.000655    
42       0.0366       0.9799       0.7232       0.7931       0.000640    
43       0.0211       0.9892       0.7480       0.8123       0.000625    
44       0.0279       0.9851       0.7089       0.7931       0.000609    
45       0.0169       0.9898       0.7502       0.7962       0.000594    
46       0.0155       0.9916       0.7494       0.8022       0.000579    
47       0.0143       0.9924       0.6991       0.8093       0.000563    
48       0.0139       0.9929       0.7619       0.8042       0.000548    
49       0.0261       0.9853       0.7620       0.8022       0.000532    
50       0.0129       0.9944       0.6857       0.8163       0.000516    
51       0.0086       0.9952       0.7239       0.8073       0.000501    
52       0.0057       0.9968       0.7119       0.8153       0.000485    
53       0.0094       0.9933       0.7170       0.8103       0.000469    
54       0.0097       0.9942       0.7290       0.8042       0.000453    
55       0.0067       0.9959       0.7257       0.8174       0.000438    
56       0.0100       0.9939       0.6952       0.8274       0.000422    
57       0.0058       0.9968       0.6704       0.8254       0.000407    
58       0.0048       0.9968       0.7154       0.8244       0.000392    
59       0.0037       0.9978       0.7035       0.8274       0.000376    
60       0.0129       0.9937       0.7071       0.8184       0.000361    
61       0.0073       0.9952       0.7156       0.8214       0.000346    
62       0.0116       0.9939       0.7234       0.8234       0.000331    
63       0.0071       0.9959       0.7325       0.8264       0.000317    
64       0.0049       0.9974       0.6890       0.8285       0.000302    
65       0.0035       0.9970       0.7231       0.8214       0.000288    
66       0.0041       0.9968       0.7411       0.8295       0.000274    
67       0.0036       0.9976       0.7242       0.8264       0.000260    
68       0.0033       0.9978       0.7554       0.8214       0.000246    
69       0.0038       0.9970       0.7447       0.8224       0.000233    
70       0.0028       0.9981       0.7108       0.8285       0.000220    
71       0.0027       0.9978       0.7690       0.8204       0.000207    
72       0.0028       0.9974       0.7360       0.8214       0.000194    
73       0.0042       0.9974       0.7489       0.8295       0.000182    
74       0.0036       0.9974       0.7495       0.8295       0.000170    
75       0.0022       0.9985       0.7291       0.8254       0.000159    
76       0.0071       0.9968       0.6883       0.8234       0.000147    
77       0.0033       0.9978       0.7076       0.8264       0.000136    
78       0.0062       0.9968       0.7076       0.8214       0.000126    
79       0.0035       0.9983       0.7180       0.8194       0.000116    
80       0.0042       0.9972       0.7053       0.8254       0.000106    
81       0.0034       0.9972       0.7046       0.8244       0.000096    
82       0.0034       0.9976       0.6993       0.8264       0.000087    
83       0.0026       0.9983       0.6961       0.8285       0.000079    
84       0.0029       0.9981       0.7022       0.8295       0.000071    
85       0.0035       0.9976       0.7191       0.8335       0.000063    
86       0.0027       0.9983       0.7086       0.8305       0.000055    
