==================================================
  训练记录 - model_17
==================================================

训练时间: 2026-05-19 18:38:12
模型目录: ./model\model_17

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate  : 0.001
  device         : cuda:0
  early_stop     : 启用
  early_stop_patience : 15
  early_stop_min_delta: 0.005
  lr_scheduler   : CosineAnnealing
  lr_min         : 1e-06
  data_augmentation: 启用
  stratified_split : 启用

--- 训练结果 ---
  最佳 epoch     : 72/100
  最佳验证准确率  : 0.8444

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.8994       0.6768       0.7589       0.7051       0.001000    
2        0.6360       0.7724       0.7012       0.7465       0.001000    
3        0.4974       0.8178       0.7210       0.7384       0.000999    
4        0.3926       0.8614       0.8372       0.7303       0.000998    
5        0.3832       0.8649       0.7599       0.7556       0.000996    
6        0.2896       0.8982       0.5967       0.8061       0.000994    
7        0.2894       0.8936       0.7432       0.7687       0.000991    
8        0.2614       0.9086       1.0341       0.6990       0.000988    
9        0.2486       0.9107       0.8321       0.7626       0.000984    
10       0.1824       0.9377       0.7650       0.7929       0.000980    
11       0.1752       0.9375       0.8078       0.7768       0.000976    
12       0.1635       0.9434       0.7443       0.8030       0.000970    
13       0.1798       0.9393       0.9015       0.7525       0.000965    
14       0.1313       0.9563       0.9061       0.7657       0.000959    
15       0.1552       0.9466       1.2527       0.7333       0.000952    
16       0.1597       0.9440       0.9736       0.7737       0.000946    
17       0.1685       0.9410       0.7269       0.8101       0.000938    
18       0.1437       0.9486       0.9396       0.7434       0.000930    
19       0.1829       0.9436       0.6652       0.8152       0.000922    
20       0.0814       0.9743       0.6253       0.8333       0.000914    
21       0.0583       0.9831       0.8269       0.8232       0.000905    
22       0.0628       0.9810       0.8131       0.8091       0.000895    
23       0.0631       0.9784       0.8419       0.7879       0.000885    
24       0.1048       0.9650       0.7208       0.8091       0.000875    
25       0.0639       0.9818       0.7957       0.8071       0.000865    
26       0.1551       0.9507       0.8640       0.7566       0.000854    
27       0.0988       0.9687       0.9574       0.7970       0.000842    
28       0.0917       0.9715       1.0271       0.7657       0.000831    
29       0.0602       0.9818       0.8642       0.8131       0.000819    
30       0.0414       0.9847       0.7955       0.8303       0.000807    
31       0.0329       0.9892       0.8007       0.8313       0.000794    
32       0.0376       0.9866       0.8086       0.8273       0.000781    
33       0.0299       0.9901       0.9028       0.8283       0.000768    
34       0.0245       0.9935       0.9683       0.8242       0.000755    
35       0.0305       0.9901       0.9538       0.8152       0.000741    
36       0.0207       0.9931       0.8468       0.8394       0.000727    
37       0.0186       0.9946       0.9128       0.8253       0.000713    
38       0.0196       0.9918       0.9567       0.8293       0.000699    
39       0.0329       0.9901       0.9983       0.8091       0.000684    
40       0.0179       0.9952       0.9300       0.8283       0.000670    
41       0.0241       0.9933       1.0520       0.8020       0.000655    
42       0.0216       0.9929       0.9960       0.8091       0.000640    
43       0.0262       0.9905       1.0055       0.8192       0.000625    
44       0.0214       0.9933       1.0396       0.8192       0.000609    
45       0.0219       0.9931       0.8480       0.8222       0.000594    
46       0.0275       0.9931       0.9261       0.8263       0.000579    
47       0.0229       0.9911       0.8744       0.8182       0.000563    
48       0.0192       0.9935       0.9730       0.8121       0.000548    
49       0.0167       0.9946       0.8580       0.8394       0.000532    
50       0.0133       0.9959       0.9406       0.8242       0.000516    
51       0.0147       0.9948       0.9718       0.8212       0.000501    
52       0.0199       0.9931       0.9707       0.8212       0.000485    
53       0.0221       0.9918       1.0158       0.8222       0.000469    
54       0.0458       0.9849       0.9385       0.8202       0.000453    
55       0.0183       0.9937       0.8022       0.8222       0.000438    
56       0.0117       0.9968       0.8940       0.8313       0.000422    
57       0.0090       0.9968       0.8690       0.8354       0.000407    
58       0.0096       0.9961       0.9057       0.8293       0.000392    
59       0.0074       0.9970       0.9113       0.8384       0.000376    
60       0.0044       0.9976       0.9192       0.8394       0.000361    
61       0.0046       0.9983       0.9219       0.8384       0.000346    
62       0.0075       0.9976       0.8790       0.8242       0.000331    
63       0.0066       0.9978       0.9324       0.8303       0.000317    
64       0.0078       0.9968       0.9602       0.8162       0.000302    
65       0.0051       0.9978       0.9519       0.8273       0.000288    
66       0.0048       0.9983       0.9950       0.8253       0.000274    
67       0.0053       0.9981       0.9702       0.8293       0.000260    
68       0.0057       0.9978       0.9733       0.8293       0.000246    
69       0.0041       0.9981       0.9708       0.8293       0.000233    
70       0.0050       0.9981       0.9604       0.8364       0.000220    
71       0.0027       0.9991       0.9403       0.8394       0.000207    
72       0.0057       0.9978       0.9575       0.8444       0.000194    
73       0.0090       0.9965       0.9194       0.8293       0.000182    
74       0.0169       0.9944       0.9503       0.8232       0.000170    
75       0.0088       0.9968       0.9258       0.8384       0.000159    
76       0.0066       0.9974       0.9293       0.8384       0.000147    
77       0.0052       0.9985       0.9437       0.8404       0.000136    
78       0.0046       0.9978       0.9429       0.8354       0.000126    
79       0.0065       0.9978       0.9286       0.8384       0.000116    
80       0.0080       0.9968       0.9881       0.8313       0.000106    
81       0.0047       0.9981       0.9054       0.8364       0.000096    
82       0.0057       0.9976       0.9031       0.8364       0.000087    
83       0.0042       0.9983       0.9097       0.8414       0.000079    
84       0.0044       0.9981       0.9015       0.8364       0.000071    
85       0.0052       0.9978       0.9236       0.8444       0.000063    
86       0.0035       0.9987       0.9200       0.8374       0.000055    
87       0.0035       0.9983       0.9171       0.8394       0.000049    
88       0.0038       0.9981       0.9177       0.8414       0.000042    
89       0.0036       0.9983       0.9269       0.8374       0.000036    
90       0.0032       0.9987       0.9164       0.8394       0.000031    
91       0.0037       0.9978       0.9232       0.8394       0.000025    
92       0.0031       0.9985       0.9187       0.8384       0.000021    
93       0.0034       0.9989       0.9431       0.8394       0.000017    
94       0.0028       0.9989       0.9261       0.8424       0.000013    
95       0.0032       0.9985       0.9166       0.8384       0.000010    
96       0.0024       0.9987       0.9202       0.8414       0.000007    
97       0.0023       0.9994       0.9191       0.8434       0.000005    
98       0.0028       0.9991       0.9314       0.8404       0.000003    
99       0.0032       0.9983       0.9183       0.8414       0.000002    
100      0.0037       0.9987       0.9218       0.8434       0.000001    

--- 完整路径 ---
  best.pt            : ./model\model_17/best_model_17.pt
  last.pt            : ./model\model_17/last_model_17.pt
  训练曲线          : ./model\model_17/training_history_model_17.png
  tensorboard log    : ./model\model_17\log\2026-05-19-09-05-35
