==================================================
  训练记录 - model_6
==================================================

训练时间: 2026-05-17 04:30:54
模型目录: ./model\model_6

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 55/100
  最佳验证准确率  : 0.7235

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        1.4257       0.5698       1.5160       0.5096      
2        1.3434       0.6440       1.5293       0.4733      
3        1.3575       0.6185       1.3691       0.6377      
4        1.3271       0.6502       1.3735       0.6216      
5        1.3083       0.6701       1.4590       0.5701      
6        1.3707       0.6064       1.4581       0.5540      
7        1.3468       0.6353       1.5385       0.5025      
8        1.3398       0.6414       1.4518       0.5409      
9        1.3244       0.6608       1.3796       0.6115      
10       1.3206       0.6617       1.4036       0.6226      
11       1.2969       0.6740       1.3330       0.6428      
12       1.2795       0.6894       1.4133       0.6004      
13       1.2581       0.7034       1.3422       0.6539      
14       1.2735       0.6961       1.4137       0.5994      
15       1.2812       0.6859       1.4110       0.6054      
16       1.2552       0.7097       1.3484       0.6559      
17       1.3358       0.6427       1.3554       0.6428      
18       1.3156       0.6619       1.3719       0.6176      
19       1.2721       0.6954       1.3422       0.6488      
20       1.2583       0.7125       1.3573       0.6367      
21       1.2778       0.7023       1.3669       0.6458      
22       1.2769       0.6991       1.3948       0.6367      
23       1.2513       0.7181       1.3231       0.6670      
24       1.2440       0.7190       1.3328       0.6579      
25       1.2295       0.7356       1.3601       0.6428      
26       1.2577       0.7021       1.3681       0.6246      
27       1.2555       0.7073       1.3508       0.6509      
28       1.2408       0.7201       1.3738       0.6176      
29       1.2286       0.7319       1.3213       0.6670      
30       1.2454       0.7192       1.3352       0.6630      
31       1.1846       0.7696       1.2835       0.6983      
32       1.2010       0.7542       1.2870       0.7043      
33       1.1837       0.7678       1.3143       0.6710      
34       1.1763       0.7726       1.3021       0.6852      
35       1.1769       0.7737       1.3490       0.6549      
36       1.1662       0.7827       1.3325       0.6559      
37       1.1551       0.7901       1.3058       0.6902      
38       1.1441       0.8033       1.3116       0.6720      
39       1.1313       0.8070       1.3009       0.6872      
40       1.1586       0.7847       1.2977       0.6963      
41       1.1668       0.7786       1.3008       0.6922      
42       1.1507       0.7981       1.3182       0.6942      
43       1.1184       0.8193       1.2697       0.7104      
44       1.2195       0.7309       1.3700       0.6075      
45       1.2055       0.7428       1.3520       0.6468      
46       1.1963       0.7501       1.3314       0.6549      
47       1.2048       0.7512       1.3301       0.6569      
48       1.1385       0.8016       1.3182       0.6720      
49       1.1396       0.7990       1.2831       0.6942      
50       1.1595       0.7843       1.3313       0.6589      
51       1.1328       0.8048       1.2959       0.6922      
52       1.1004       0.8316       1.2819       0.7033      
53       1.0943       0.8348       1.2865       0.6942      
54       1.0863       0.8407       1.3079       0.6811      
55       1.0817       0.8454       1.2598       0.7235      
56       1.0894       0.8424       1.3140       0.6852      
57       1.0749       0.8504       1.2853       0.6872      
58       1.0639       0.8604       1.2735       0.7033      
59       1.0606       0.8623       1.2784       0.7104      
60       1.0819       0.8465       1.3256       0.6781      
61       1.0887       0.8379       1.3002       0.6821      
62       1.0693       0.8539       1.2791       0.7114      
63       1.0542       0.8681       1.2846       0.7084      
64       1.0726       0.8547       1.3069       0.6842      
65       1.0443       0.8761       1.2676       0.7074      
66       1.0285       0.8911       1.2960       0.6993      
67       1.0367       0.8820       1.3037       0.6761      
68       1.0358       0.8837       1.2732       0.7104      
69       1.0527       0.8707       1.2861       0.7074      
70       1.0389       0.8850       1.2901       0.6922      
71       1.0361       0.8850       1.3099       0.6842      
72       1.0554       0.8686       1.2682       0.7154      
73       1.0963       0.8318       1.4532       0.5600      
74       1.0939       0.8348       1.3001       0.6862      
75       1.0493       0.8731       1.2781       0.7053      
76       1.0238       0.8934       1.3134       0.6892      
77       1.0806       0.8403       1.3615       0.6357      
78       1.0932       0.8307       1.3183       0.6720      
79       1.0721       0.8478       1.3175       0.6751      
80       1.0432       0.8733       1.3062       0.6892      
81       1.0249       0.8913       1.3269       0.6811      
82       1.0602       0.8584       1.3402       0.6620      
83       1.0338       0.8835       1.2847       0.7124      
84       1.0314       0.8876       1.2964       0.6932      
85       1.0238       0.8915       1.3133       0.6892      
86       1.0155       0.9006       1.2803       0.7074      

--- 完整路径 ---
  best.pt            : ./model\model_6/best_model_6.pt
  last.pt            : ./model\model_6/last_model_6.pt
  训练曲线          : ./model\model_6/training_history_model_6.png
  tensorboard log    : ./model\model_6\log\2026-05-16-18-43-39
