==================================================
  训练记录 - model_4
==================================================

训练时间: 2026-05-16 23:58:38
模型目录: ./model\model_4

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 78/100
  最佳验证准确率  : 0.7356

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        1.4834       0.5731       1.6860       0.4450      
2        1.4025       0.6399       1.5423       0.5288      
3        1.4353       0.6120       1.6417       0.4501      
4        1.4160       0.6291       1.5166       0.5580      
5        1.3809       0.6530       1.5003       0.5832      
6        1.3761       0.6639       1.4262       0.6297      
7        1.3590       0.6740       1.4797       0.5873      
8        1.3469       0.6835       1.4253       0.6398      
9        1.3747       0.6652       1.5055       0.5661      
10       1.3614       0.6779       1.4770       0.6075      
11       1.4372       0.6105       1.4566       0.6095      
12       1.3741       0.6615       1.4701       0.5933      
13       1.3626       0.6697       1.4501       0.6196      
14       1.3433       0.6915       1.4104       0.6428      
15       1.3413       0.6935       1.4414       0.6438      
16       1.3312       0.7004       1.4109       0.6559      
17       1.3385       0.6904       1.3878       0.6680      
18       1.3171       0.7095       1.3816       0.6660      
19       1.3528       0.6818       1.4133       0.6367      
20       1.3628       0.6688       1.4479       0.6095      
21       1.3451       0.6842       1.4076       0.6418      
22       1.3127       0.7118       1.3958       0.6529      
23       1.3336       0.6922       1.4184       0.6468      
24       1.3002       0.7211       1.3988       0.6458      
25       1.3145       0.7112       1.4183       0.6327      
26       1.2966       0.7242       1.4164       0.6529      
27       1.2871       0.7317       1.4145       0.6438      
28       1.2827       0.7335       1.4315       0.6256      
29       1.3031       0.7188       1.4220       0.6458      
30       1.2882       0.7291       1.4140       0.6317      
31       1.2801       0.7387       1.3650       0.6922      
32       1.2956       0.7227       1.5301       0.5318      
33       1.2901       0.7337       1.3914       0.6731      
34       1.2678       0.7473       1.4011       0.6589      
35       1.2727       0.7430       1.3948       0.6700      
36       1.2832       0.7335       1.4140       0.6357      
37       1.2555       0.7544       1.4193       0.6569      
38       1.2418       0.7685       1.4020       0.6569      
39       1.2447       0.7609       1.3896       0.6670      
40       1.2361       0.7698       1.3604       0.6852      
41       1.2403       0.7655       1.4223       0.6408      
42       1.2358       0.7713       1.3717       0.6761      
43       1.2328       0.7752       1.4095       0.6751      
44       1.2101       0.7981       1.4005       0.6609      
45       1.2411       0.7769       1.4101       0.6387      
46       1.2058       0.8022       1.3463       0.7013      
47       1.2011       0.8063       1.4010       0.6771      
48       1.2135       0.7964       1.4426       0.6357      
49       1.2058       0.8035       1.3502       0.7013      
50       1.1849       0.8169       1.3714       0.6902      
51       1.1668       0.8335       1.3303       0.7205      
52       1.1781       0.8312       1.3243       0.7175      
53       1.2419       0.7719       1.3755       0.6690      
54       1.2861       0.7218       1.4320       0.6297      
55       1.2840       0.7313       1.4253       0.6428      
56       1.2259       0.7873       1.4261       0.6549      
57       1.2319       0.7832       1.3425       0.7033      
58       1.1800       0.8210       1.3525       0.6963      
59       1.1691       0.8305       1.3576       0.6932      
60       1.1612       0.8357       1.3589       0.7064      
61       1.1769       0.8268       1.3731       0.6852      
62       1.1807       0.8193       1.3957       0.6670      
63       1.1622       0.8340       1.3407       0.7124      
64       1.1475       0.8500       1.3640       0.7033      
65       1.2387       0.7793       1.3518       0.6993      
66       1.1724       0.8294       1.3562       0.7064      
67       1.1625       0.8394       1.3922       0.6650      
68       1.2040       0.8070       1.3670       0.6882      
69       1.1608       0.8400       1.3459       0.7104      
70       1.1636       0.8405       1.3442       0.7074      
71       1.1559       0.8446       1.3603       0.6922      
72       1.1502       0.8454       1.3348       0.7255      
73       1.1400       0.8537       1.3648       0.6892      
74       1.1263       0.8666       1.3311       0.7255      
75       1.1408       0.8552       1.3436       0.7084      
76       1.1387       0.8595       1.3294       0.7306      
77       1.1177       0.8746       1.3395       0.7175      
78       1.1144       0.8770       1.3118       0.7356      
79       1.1034       0.8854       1.3208       0.7286      
80       1.1028       0.8859       1.3460       0.7134      
81       1.1049       0.8835       1.3624       0.6922      
82       1.2092       0.7834       1.4822       0.5590      
83       1.1893       0.8065       1.4105       0.6539      
84       1.1580       0.8379       1.3439       0.7104      
85       1.1164       0.8725       1.3261       0.7265      
86       1.1309       0.8599       1.3428       0.7175      
87       1.1470       0.8515       1.3586       0.6973      
88       1.1293       0.8599       1.3345       0.7185      
89       1.1127       0.8755       1.3290       0.7225      
90       1.1013       0.8854       1.3603       0.6983      
91       1.0897       0.8945       1.3501       0.7043      
92       1.0965       0.8902       1.3645       0.6932      
93       1.0774       0.9058       1.3340       0.7255      
94       1.0758       0.9083       1.3191       0.7306      
95       1.1239       0.8712       1.3444       0.7033      
96       1.1233       0.8692       1.3677       0.6842      
97       1.1060       0.8841       1.3635       0.7023      
98       1.1315       0.8647       1.3349       0.7235      
99       1.1084       0.8792       1.3568       0.6973      
100      1.1039       0.8846       1.3472       0.7094      

--- 完整路径 ---
  best.pt            : ./model\model_4/best_model_4.pt
  last.pt            : ./model\model_4/last_model_4.pt
  训练曲线          : ./model\model_4/training_history_model_4.png
  tensorboard log    : ./model\model_4\log\2026-05-16-14-49-12
