==================================================
  训练记录 - model_5
==================================================

训练时间: 2026-05-17 01:36:51
模型目录: ./model\model_5

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 37/100
  最佳验证准确率  : 0.7164

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        1.2472       0.6211       1.3962       0.4965      
2        1.2080       0.6470       1.3381       0.5489      
3        1.2432       0.6124       1.3906       0.5086      
4        1.2308       0.6278       1.2908       0.5762      
5        1.1845       0.6652       1.4502       0.4622      
6        1.2300       0.6314       1.3718       0.5227      
7        1.2774       0.5888       1.5301       0.3875      
8        1.2804       0.5863       1.4130       0.5055      
9        1.2034       0.6559       1.3161       0.5822      
10       1.2007       0.6589       1.2839       0.5802      
11       1.1724       0.6716       1.2850       0.6095      
12       1.1508       0.6943       1.2066       0.6650      
13       1.1328       0.7090       1.2743       0.5964      
14       1.1475       0.6904       1.2504       0.6115      
15       1.1410       0.6928       1.2259       0.6448      
16       1.1200       0.7153       1.2395       0.6377      
17       1.0947       0.7339       1.2011       0.6650      
18       1.1012       0.7317       1.2509       0.6125      
19       1.1323       0.7060       1.2181       0.6377      
20       1.1004       0.7311       1.1684       0.6983      
21       1.0614       0.7592       1.1955       0.6700      
22       1.0674       0.7579       1.2974       0.5984      
23       1.0788       0.7490       1.2216       0.6569      
24       1.0698       0.7531       1.2108       0.6539      
25       1.0693       0.7598       1.2232       0.6448      
26       1.0998       0.7307       1.2527       0.6226      
27       1.0821       0.7451       1.2019       0.6680      
28       1.0564       0.7674       1.2682       0.6216      
29       1.0572       0.7616       1.1942       0.6690      
30       1.0219       0.7949       1.2430       0.6155      
31       1.0247       0.7864       1.1956       0.6579      
32       1.0175       0.7946       1.2213       0.6670      
33       1.0068       0.8050       1.1772       0.6842      
34       0.9950       0.8158       1.1706       0.6963      
35       0.9933       0.8141       1.1691       0.6902      
36       0.9892       0.8191       1.1685       0.6882      
37       1.0099       0.8033       1.1360       0.7164      
38       0.9717       0.8351       1.1583       0.7003      
39       0.9845       0.8260       1.1899       0.6690      
40       0.9717       0.8338       1.1700       0.6902      
41       0.9683       0.8357       1.1310       0.7205      
42       0.9621       0.8398       1.1790       0.6872      
43       1.0213       0.7981       1.1729       0.6821      
44       0.9863       0.8160       1.1567       0.6993      
45       0.9706       0.8292       1.1558       0.7003      
46       0.9541       0.8454       1.2615       0.6266      
47       1.0125       0.7983       1.1871       0.6811      
48       1.0515       0.7663       1.2561       0.6266      
49       1.0276       0.7873       1.1837       0.6700      
50       0.9897       0.8186       1.1955       0.6771      
51       0.9839       0.8251       1.1516       0.7074      
52       0.9693       0.8353       1.1987       0.6609      

--- 完整路径 ---
  best.pt            : ./model\model_5/best_model_5.pt
  last.pt            : ./model\model_5/last_model_5.pt
  训练曲线          : ./model\model_5/training_history_model_5.png
  tensorboard log    : ./model\model_5\log\2026-05-16-16-40-32
