==================================================
  训练记录 - model_10
==================================================

训练时间: 2026-05-17 18:55:57
模型目录: ./model\model_10

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 35/100
  最佳验证准确率  : 0.8242

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        0.9187       0.6742       0.8703       0.7020      
2        0.5909       0.7886       0.6700       0.7586      
3        0.4633       0.8303       1.0071       0.6869      
4        0.4052       0.8539       0.7718       0.7253      
5        0.3747       0.8591       1.0656       0.7485      
6        0.3191       0.8882       0.7996       0.7414      
7        0.2522       0.9058       0.7766       0.7778      
8        0.2405       0.9185       0.9514       0.7455      
9        0.2666       0.9036       0.8536       0.7515      
10       0.2229       0.9196       1.0318       0.7374      
11       0.2406       0.9170       0.8820       0.7465      
12       0.2071       0.9280       0.8629       0.7667      
13       0.1504       0.9516       0.7746       0.7949      
14       0.2088       0.9243       0.8586       0.7576      
15       0.1400       0.9516       0.7534       0.7960      
16       0.1072       0.9635       0.9778       0.7758      
17       0.1276       0.9570       0.9753       0.7545      
18       0.1054       0.9648       0.7898       0.8051      
19       0.0784       0.9732       0.8098       0.8020      
20       0.0862       0.9693       0.8307       0.7929      
21       0.1658       0.9440       0.8893       0.7818      
22       0.1126       0.9633       0.8627       0.7818      
23       0.0987       0.9635       0.9045       0.7838      
24       0.0997       0.9671       0.8982       0.7980      
25       0.0846       0.9678       1.0477       0.7798      
26       0.0748       0.9728       1.1170       0.7586      
27       0.0976       0.9674       0.8750       0.7889      
28       0.1309       0.9565       1.0671       0.7687      
29       0.1737       0.9419       1.1649       0.7495      
30       0.0887       0.9728       0.8306       0.7980      
31       0.0999       0.9661       1.0588       0.7859      
32       0.0816       0.9717       0.9200       0.7808      
33       0.0538       0.9834       0.8936       0.8051      
34       0.0509       0.9847       1.0235       0.7980      
35       0.0374       0.9866       0.8306       0.8242      
36       0.0555       0.9827       0.8624       0.8071      
37       0.0278       0.9901       0.9736       0.7970      
38       0.0363       0.9879       1.0232       0.8010      
39       0.0614       0.9782       0.9374       0.8030      
40       0.0391       0.9892       0.9052       0.8242      
41       0.0375       0.9862       1.1984       0.7828      
42       0.0634       0.9788       0.9548       0.7818      
43       0.1116       0.9643       1.0923       0.7394      
44       0.0582       0.9814       0.9750       0.7909      
45       0.0507       0.9838       1.3568       0.7687      
46       0.0782       0.9762       0.8600       0.7919      
47       0.0790       0.9730       0.9268       0.7636      
48       0.0809       0.9725       0.9636       0.7788      
49       0.0756       0.9762       0.8846       0.7960      
50       0.0324       0.9892       0.7981       0.8152      
51       0.0489       0.9853       0.9395       0.8000      
52       0.0359       0.9868       1.2398       0.7576      
53       0.0392       0.9877       1.0262       0.8040      
54       0.0305       0.9911       0.9825       0.8000      
55       0.0788       0.9749       1.1546       0.7616      
56       0.0773       0.9732       0.9728       0.7818      
57       0.0732       0.9743       0.8908       0.8030      
58       0.0378       0.9877       0.9257       0.8010      
59       0.0322       0.9881       0.8954       0.8242      
60       0.0440       0.9868       1.0366       0.7808      
61       0.0452       0.9847       1.0484       0.7818      
62       0.0261       0.9903       0.9276       0.8101      
63       0.0202       0.9946       0.9118       0.8071      
64       0.0150       0.9948       1.0681       0.8071      
65       0.0317       0.9892       1.2345       0.7657      
66       0.0288       0.9903       1.0191       0.8071      
67       0.0298       0.9894       0.9658       0.8071      
68       0.0236       0.9918       1.2175       0.7758      
69       0.0230       0.9924       1.0316       0.8061      
70       0.0246       0.9907       1.1197       0.7980      
71       0.1060       0.9645       0.9429       0.7788      
72       0.0569       0.9810       0.9748       0.8101      
73       0.0378       0.9903       1.0576       0.7737      
74       0.0650       0.9784       0.9993       0.7848      
75       0.0389       0.9881       0.9442       0.8061      
76       0.0588       0.9821       0.9539       0.7818      
77       0.0427       0.9855       1.0390       0.7778      
78       0.0196       0.9933       0.9093       0.8071      
79       0.0185       0.9946       1.0079       0.7939      
80       0.0503       0.9836       1.0610       0.7970      
81       0.0435       0.9849       0.9803       0.8051      
82       0.0547       0.9821       1.0422       0.7768      
83       0.0429       0.9836       1.0197       0.7919      
84       0.0368       0.9888       1.0850       0.7828      
85       0.0445       0.9851       1.0400       0.7838      
86       0.0731       0.9773       1.0777       0.7909      
87       0.1123       0.9641       0.9601       0.7747      
88       0.0723       0.9775       1.0433       0.7828      
89       0.0333       0.9894       0.9904       0.7970      
90       0.0302       0.9905       1.1719       0.7798      
91       0.0490       0.9840       0.9615       0.7949      
92       0.0289       0.9905       0.9328       0.7960      
93       0.0347       0.9879       1.0566       0.7848      
94       0.0410       0.9872       1.0575       0.7788      
95       0.0255       0.9905       1.0536       0.7909      
96       0.0354       0.9898       0.8646       0.8030      
97       0.0252       0.9939       1.0302       0.8081      
98       0.0237       0.9914       1.0310       0.8101      
99       0.0211       0.9920       1.0749       0.7929      
100      0.0477       0.9870       1.0813       0.7747      

--- 完整路径 ---
  best.pt            : ./model\model_10/best_model_10.pt
  last.pt            : ./model\model_10/last_model_10.pt
  训练曲线          : ./model\model_10/training_history_model_10.png
  tensorboard log    : ./model\model_10\log\2026-05-17-09-28-08
