==================================================
  训练记录 - model_9
==================================================

训练时间: 2026-05-17 16:18:07
模型目录: ./model\model_9

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 18/100
  最佳验证准确率  : 0.8052

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        0.9204       0.6757       1.3370       0.5610      
2        0.5560       0.8018       0.8493       0.6963      
3        0.3952       0.8580       0.8580       0.7346      
4        0.2916       0.8936       1.2370       0.6408      
5        0.2319       0.9196       1.1124       0.6983      
6        0.1712       0.9425       0.8718       0.7679      
7        0.1696       0.9449       1.0568       0.7477      
8        0.2058       0.9315       0.9346       0.7417      
9        0.1323       0.9533       1.1772       0.7376      
10       0.1347       0.9555       1.2907       0.6720      
11       0.1477       0.9486       0.9920       0.7538      
12       0.0745       0.9777       0.9637       0.7699      
13       0.0636       0.9821       1.2206       0.7397      
14       0.0996       0.9687       0.9392       0.7548      
15       0.0547       0.9831       1.0805       0.7427      
16       0.0205       0.9948       0.9994       0.7820      
17       0.0070       0.9989       0.9972       0.7891      
18       0.0110       0.9970       0.9644       0.8052      
19       0.0105       0.9972       1.2637       0.7659      
20       0.0486       0.9840       1.2607       0.7084      
21       0.0424       0.9844       1.0063       0.7800      
22       0.0713       0.9769       1.2166       0.7386      
23       0.1108       0.9654       1.4382       0.7064      
24       0.0862       0.9723       1.1648       0.7376      
25       0.0273       0.9916       1.0079       0.7871      
26       0.0538       0.9836       1.4325       0.7417      
27       0.0320       0.9898       1.2968       0.7154      
28       0.1014       0.9652       1.1613       0.7205      
29       0.1260       0.9630       1.1191       0.7386      
30       0.0425       0.9875       1.1540       0.7598      
31       0.0245       0.9914       1.1379       0.7497      
32       0.0523       0.9842       1.3826       0.7074      
33       0.0544       0.9836       1.2956       0.7356      
34       0.0259       0.9920       1.1139       0.7275      
35       0.0343       0.9903       1.1859       0.7619      
36       0.0085       0.9981       1.1589       0.7679      
37       0.0083       0.9976       1.1339       0.7770      
38       0.0087       0.9978       1.1762       0.7760      
39       0.0485       0.9831       1.6299       0.7356      
40       0.0653       0.9810       1.4031       0.7074      
41       0.0261       0.9920       1.1671       0.7598      
42       0.0389       0.9879       1.2842       0.7356      
43       0.0181       0.9933       1.3309       0.7508      
44       0.0171       0.9942       1.1906       0.7649      
45       0.0075       0.9981       1.2764       0.7629      
46       0.0023       0.9996       1.2163       0.7770      
47       0.0077       0.9983       1.2665       0.7709      
48       0.0071       0.9976       1.3174       0.7568      
49       0.0061       0.9978       1.4654       0.7366      
50       0.0038       0.9991       1.2721       0.7679      
51       0.0045       0.9981       1.3778       0.7719      
52       0.0300       0.9885       1.3024       0.7487      
53       0.0374       0.9868       1.3578       0.7265      
54       0.1166       0.9630       1.1308       0.7316      
55       0.0449       0.9851       1.3336       0.7326      
56       0.0842       0.9747       1.1003       0.7386      
57       0.0384       0.9892       1.1644       0.7286      
58       0.0115       0.9968       1.2673       0.7619      
59       0.0045       0.9987       1.2281       0.7689      
60       0.0032       0.9989       1.2487       0.7770      
61       0.0064       0.9985       1.3422       0.7679      
62       0.0114       0.9974       1.2641       0.7760      
63       0.0051       0.9991       1.1972       0.7820      
64       0.0016       0.9998       1.1844       0.7861      
65       0.0008       0.9998       1.2201       0.7871      
66       0.0010       0.9998       1.2200       0.7820      
67       0.0006       0.9998       1.2192       0.7810      
68       0.0005       0.9998       1.2232       0.7841      
69       0.0005       0.9998       1.2452       0.7871      
70       0.0004       0.9996       1.2685       0.7820      
71       0.0004       0.9998       1.2419       0.7841      
72       0.0006       0.9996       1.2875       0.7841      
73       0.0014       0.9996       1.3085       0.7800      
74       0.0008       0.9996       1.3152       0.7871      
75       0.0071       0.9981       1.6311       0.7649      
76       0.0113       0.9963       1.4403       0.7508      
77       0.0251       0.9914       1.3974       0.7306      
78       0.0366       0.9862       1.8716       0.6801      
79       0.0750       0.9767       1.5769       0.6953      
80       0.0750       0.9762       1.3795       0.7306      
81       0.0591       0.9799       1.1993       0.7407      
82       0.0172       0.9948       1.2286       0.7518      
83       0.0067       0.9981       1.2335       0.7659      
84       0.0041       0.9985       1.2479       0.7730      
85       0.0020       0.9994       1.2648       0.7760      
86       0.0021       0.9994       1.2851       0.7689      
87       0.0021       0.9994       1.2294       0.7699      
88       0.0349       0.9920       1.3228       0.7175      
89       0.0266       0.9907       1.2712       0.7528      
90       0.0466       0.9859       1.2401       0.7326      
91       0.0223       0.9929       1.5730       0.7235      
92       0.0799       0.9764       1.4227       0.7316      
93       0.0784       0.9764       1.3373       0.7104      
94       0.0422       0.9866       1.2371       0.7619      
95       0.0324       0.9890       1.3640       0.7457      
96       0.0097       0.9978       1.3201       0.7528      
97       0.0053       0.9985       1.3538       0.7548      
98       0.0037       0.9994       1.7675       0.7265      
99       0.0040       0.9989       1.8314       0.7195      
100      0.0065       0.9976       1.5893       0.7558      

--- 完整路径 ---
  best.pt            : ./model\model_9/best_model_9.pt
  last.pt            : ./model\model_9/last_model_9.pt
  训练曲线          : ./model\model_9/training_history_model_9.png
  tensorboard log    : ./model\model_9\log\2026-05-17-07-02-44
