Model 2 测试指标汇总
模型路径: ./model/model_2\best_model_2.pt

总准确率: 0.7379
Macro F1: 0.7625
Weighted F1: 0.7383

类别                P        R       F1  Support
cloudy       0.5000   0.5274   0.5133      146
haze         0.6943   0.7676   0.7291      142
rainy        0.6903   0.6815   0.6859      157
shine        0.7647   0.9070   0.8298       43
snow         0.8182   0.6923   0.7500      143
sunny        0.7484   0.7030   0.7250      165
sunrise      0.8621   1.0000   0.9259       50
thunder      0.9574   0.9247   0.9408      146
