Model 3 测试指标汇总
模型路径: ./model/model_3\best_model_3.pt

总准确率: 0.7389
Macro F1: 0.7561
Weighted F1: 0.7354

类别                P        R       F1  Support
cloudy       0.5439   0.4247   0.4769      146
haze         0.7007   0.7254   0.7128      142
rainy        0.6236   0.7070   0.6627      157
shine        0.7500   0.9070   0.8211       43
snow         0.8571   0.7133   0.7786      143
sunny        0.7312   0.8242   0.7749      165
sunrise      0.8545   0.9400   0.8952       50
thunder      0.9433   0.9110   0.9268      146
